step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0270,0.0092
1200,0.0299,0.0139
1800,0.0307,0.0143
2400,0.0321,0.0160
3000,0.0344,0.0190
3600,0.0364,0.0209
4200,0.0392,0.0235
4800,0.0424,0.0249
5400,0.0439,0.0261
6000,0.0482,0.0292
6600,0.0502,0.0321
7200,0.0530,0.0346
7800,0.0553,0.0379
8400,0.0568,0.0404
9000,0.0595,0.0443
9600,0.0611,0.0475
10200,0.0634,0.0488
10800,0.0669,0.0515
11400,0.0729,0.0551
12000,0.0748,0.0576
12600,0.0773,0.0596
13200,0.0796,0.0629
13800,0.0836,0.0666
14400,0.0856,0.0706
15000,0.0887,0.0738
15600,0.0943,0.0778
16200,0.0956,0.0798
16800,0.0990,0.0811
17400,0.1051,0.0860
18000,0.1081,0.0891
18600,0.1127,0.0955
19200,0.1182,0.0990
19800,0.1217,0.1026
20400,0.1246,0.1037
21000,0.1277,0.1053
21600,0.1323,0.1062
22200,0.1365,0.1102
22800,0.1404,0.1121
23400,0.1456,0.1185
24000,0.1525,0.1242
24600,0.1585,0.1292
25200,0.1668,0.1352
25800,0.1761,0.1411
26400,0.1845,0.1476
27000,0.1913,0.1508
27600,0.1981,0.1580
28200,0.2052,0.1634
28800,0.2089,0.1653
29400,0.2213,0.1752
30000,0.2300,0.1804
30600,0.2358,0.1835
31200,0.2383,0.1842
31800,0.2479,0.1880
32400,0.2535,0.1911
33000,0.2599,0.1959
33600,0.2699,0.2009
34200,0.2773,0.2057
34800,0.2865,0.2116
35400,0.2951,0.2146
36000,0.3007,0.2155
36600,0.3115,0.2215
37200,0.3190,0.2228
37800,0.3281,0.2279
38400,0.3317,0.2321
39000,0.3429,0.2375
39600,0.3507,0.2397
40200,0.3616,0.2426
40800,0.3692,0.2429
41400,0.3781,0.2455
42000,0.3869,0.2483
42600,0.3931,0.2506
43200,0.3987,0.2531
43800,0.4080,0.2554
44400,0.4179,0.2584
45000,0.4260,0.2615
45600,0.4365,0.2647
46200,0.4459,0.2659
46800,0.4537,0.2679
47400,0.4653,0.2730
48000,0.4757,0.2751
48600,0.4868,0.2792
49200,0.4954,0.2833
49800,0.5053,0.2853
50400,0.5112,0.2892
51000,0.5199,0.2897
51600,0.5305,0.2933
52200,0.5386,0.2964
52800,0.5496,0.2994
53400,0.5563,0.2999
54000,0.5646,0.3024
54600,0.5694,0.3035
55200,0.5751,0.3033
55800,0.5831,0.3023
56400,0.5902,0.3017
57000,0.5983,0.2991
57600,0.6060,0.2990
58200,0.6122,0.2997
58800,0.6184,0.3019
59400,0.6266,0.3027
60000,0.6333,0.3016
60600,0.6392,0.3014
61200,0.6442,0.3034
61800,0.6500,0.3035
62400,0.6582,0.3019
63000,0.6657,0.3009
63600,0.6715,0.2991
64200,0.6772,0.2994
64800,0.6846,0.2982
65400,0.6909,0.2971
66000,0.6957,0.2976
66600,0.6996,0.2949
67200,0.7043,0.2943
67800,0.7094,0.2950
68400,0.7151,0.2943
69000,0.7180,0.2920
69600,0.7222,0.2894
70200,0.7274,0.2874
70800,0.7322,0.2858
71400,0.7353,0.2848
72000,0.7373,0.2856
72600,0.7408,0.2853
73200,0.7464,0.2841
73800,0.7504,0.2837
74400,0.7580,0.2822
75000,0.7622,0.2805
75600,0.7689,0.2751
76200,0.7748,0.2730
76800,0.7782,0.2716
77400,0.7825,0.2699
78000,0.7850,0.2698
78600,0.7889,0.2691
79200,0.7919,0.2684
79800,0.7968,0.2685
80400,0.8023,0.2672
81000,0.8072,0.2635
81600,0.8077,0.2626
82200,0.8114,0.2604
82800,0.8145,0.2592
83400,0.8184,0.2566
84000,0.8188,0.2562
84600,0.8241,0.2529
85200,0.8281,0.2517
85800,0.8318,0.2505
86400,0.8334,0.2494
87000,0.8379,0.2452
87600,0.8410,0.2426
88200,0.8429,0.2426
88800,0.8439,0.2421
89400,0.8483,0.2400
90000,0.8519,0.2386
90600,0.8576,0.2341
91200,0.8619,0.2325
91800,0.8646,0.2320
92400,0.8705,0.2294
93000,0.8719,0.2289
93600,0.8729,0.2268
94200,0.8736,0.2257
94800,0.8758,0.2257
95400,0.8796,0.2232
96000,0.8835,0.2214
96600,0.8857,0.2205
97200,0.8891,0.2210
97800,0.8917,0.2202
98400,0.8926,0.2205
99000,0.8954,0.2197
99600,0.8969,0.2196
100200,0.8974,0.2194
100800,0.9000,0.2191
101400,0.9037,0.2167
102000,0.9058,0.2163
102600,0.9078,0.2140
103200,0.9092,0.2137
103800,0.9111,0.2138
104400,0.9127,0.2118
105000,0.9138,0.2116
105600,0.9144,0.2113
106200,0.9175,0.2089
106800,0.9185,0.2087
107400,0.9205,0.2085
108000,0.9216,0.2086
108600,0.9227,0.2085
109200,0.9237,0.2086
109800,0.9253,0.2065
110400,0.9266,0.2063
111000,0.9272,0.2045
111600,0.9277,0.2045
112200,0.9297,0.2025
112800,0.9318,0.1989
113400,0.9324,0.1972
114000,0.9329,0.1951
114600,0.9339,0.1936
115200,0.9343,0.1937
115800,0.9354,0.1916
116400,0.9354,0.1916
117000,0.9359,0.1916
117600,0.9381,0.1894
118200,0.9407,0.1860
118800,0.9412,0.1844
119400,0.9412,0.1844
120000,0.9433,0.1826
120600,0.9433,0.1826
121200,0.9433,0.1826
121800,0.9445,0.1798
122400,0.9460,0.1744
123000,0.9460,0.1744
123600,0.9460,0.1744
124200,0.9498,0.1635
124800,0.9502,0.1635
125400,0.9507,0.1617
126000,0.9513,0.1618
126600,0.9519,0.1599
127200,0.9524,0.1581
127800,0.9540,0.1552
128400,0.9545,0.1534
129000,0.9562,0.1481
129600,0.9580,0.1466
130200,0.9586,0.1449
130800,0.9586,0.1449
131400,0.9596,0.1433
132000,0.9601,0.1404
132600,0.9607,0.1375
133200,0.9611,0.1376
133800,0.9617,0.1359
134400,0.9623,0.1330
135000,0.9628,0.1314
135600,0.9628,0.1314
136200,0.9639,0.1295
136800,0.9655,0.1247
137400,0.9661,0.1232
138000,0.9666,0.1232
138600,0.9693,0.1142
139200,0.9709,0.1082
139800,0.9715,0.1069
140400,0.9727,0.1035
141000,0.9727,0.1035
141600,0.9732,0.1022
142200,0.9737,0.1010
142800,0.9737,0.1010
143400,0.9754,0.0987
144000,0.9764,0.0976
144600,0.9770,0.0977
145200,0.9770,0.0977
145800,0.9770,0.0977
146400,0.9775,0.0967
147000,0.9775,0.0967
147600,0.9775,0.0967
148200,0.9780,0.0931
148800,0.9780,0.0931
149400,0.9797,0.0827
150000,0.9803,0.0828
150600,0.9803,0.0828
151200,0.9809,0.0794
151800,0.9809,0.0794
152400,0.9830,0.0725
153000,0.9836,0.0714
153600,0.9836,0.0714
154200,0.9836,0.0714
154800,0.9847,0.0698
155400,0.9847,0.0698
156000,0.9847,0.0698
156600,0.9853,0.0689
157200,0.9853,0.0689
157800,0.9858,0.0681
158400,0.9858,0.0681
159000,0.9863,0.0676
159600,0.9874,0.0601
160200,0.9874,0.0601
160800,0.9874,0.0601
161400,0.9874,0.0601
162000,0.9880,0.0564
162600,0.9885,0.0564
163200,0.9885,0.0564
163800,0.9885,0.0564
164400,0.9890,0.0527
165000,0.9896,0.0490
165600,0.9901,0.0454
