step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0280,0.0114
1200,0.0350,0.0210
1800,0.0392,0.0296
2400,0.0428,0.0302
3000,0.0462,0.0327
3600,0.0499,0.0330
4200,0.0520,0.0350
4800,0.0562,0.0412
5400,0.0603,0.0438
6000,0.0681,0.0526
6600,0.0730,0.0567
7200,0.0759,0.0604
7800,0.0830,0.0667
8400,0.0874,0.0706
9000,0.0919,0.0736
9600,0.0980,0.0791
10200,0.1071,0.0879
10800,0.1144,0.0942
11400,0.1196,0.0974
12000,0.1264,0.1035
12600,0.1375,0.1118
13200,0.1462,0.1182
13800,0.1553,0.1248
14400,0.1647,0.1305
15000,0.1725,0.1333
15600,0.1787,0.1379
16200,0.1870,0.1457
16800,0.1939,0.1547
17400,0.2015,0.1605
18000,0.2156,0.1679
18600,0.2213,0.1720
19200,0.2289,0.1763
19800,0.2358,0.1792
20400,0.2448,0.1849
21000,0.2537,0.1855
21600,0.2642,0.1901
22200,0.2765,0.1967
22800,0.2874,0.2006
23400,0.3013,0.2029
24000,0.3118,0.2037
24600,0.3227,0.2042
25200,0.3279,0.2077
25800,0.3435,0.2146
26400,0.3526,0.2160
27000,0.3620,0.2172
27600,0.3715,0.2166
28200,0.3852,0.2199
28800,0.3963,0.2191
29400,0.4152,0.2246
30000,0.4270,0.2287
30600,0.4399,0.2281
31200,0.4559,0.2291
31800,0.4706,0.2263
32400,0.4793,0.2297
33000,0.4923,0.2295
33600,0.5060,0.2301
34200,0.5169,0.2306
34800,0.5318,0.2326
35400,0.5426,0.2306
36000,0.5522,0.2311
36600,0.5628,0.2296
37200,0.5716,0.2278
37800,0.5845,0.2273
38400,0.5965,0.2255
39000,0.6077,0.2236
39600,0.6206,0.2242
40200,0.6341,0.2255
40800,0.6501,0.2247
41400,0.6632,0.2235
42000,0.6760,0.2217
42600,0.6847,0.2210
43200,0.6966,0.2192
43800,0.7064,0.2170
44400,0.7183,0.2135
45000,0.7229,0.2107
45600,0.7305,0.2097
46200,0.7395,0.2099
46800,0.7505,0.2057
47400,0.7584,0.2046
48000,0.7683,0.2054
48600,0.7775,0.2032
49200,0.7860,0.2013
49800,0.7934,0.1971
50400,0.7975,0.1979
51000,0.8070,0.1959
51600,0.8159,0.1873
52200,0.8214,0.1840
52800,0.8298,0.1789
53400,0.8349,0.1762
54000,0.8420,0.1704
54600,0.8468,0.1635
55200,0.8507,0.1620
55800,0.8575,0.1563
56400,0.8635,0.1531
57000,0.8702,0.1473
57600,0.8740,0.1457
58200,0.8773,0.1455
58800,0.8822,0.1390
59400,0.8872,0.1336
60000,0.8918,0.1272
60600,0.8963,0.1263
61200,0.8993,0.1235
61800,0.9071,0.1148
62400,0.9131,0.1109
63000,0.9156,0.1081
63600,0.9202,0.1053
64200,0.9238,0.1034
64800,0.9263,0.1016
65400,0.9331,0.0961
66000,0.9349,0.0940
66600,0.9374,0.0923
67200,0.9400,0.0922
67800,0.9423,0.0915
68400,0.9438,0.0907
69000,0.9463,0.0901
69600,0.9473,0.0882
70200,0.9509,0.0817
70800,0.9538,0.0777
71400,0.9561,0.0718
72000,0.9572,0.0685
72600,0.9588,0.0674
73200,0.9626,0.0615
73800,0.9642,0.0604
74400,0.9662,0.0587
75000,0.9703,0.0564
75600,0.9723,0.0565
76200,0.9723,0.0565
76800,0.9734,0.0559
77400,0.9744,0.0529
78000,0.9765,0.0484
78600,0.9775,0.0484
79200,0.9779,0.0483
79800,0.9779,0.0483
80400,0.9784,0.0483
81000,0.9784,0.0483
81600,0.9805,0.0420
82200,0.9816,0.0414
82800,0.9825,0.0388
83400,0.9841,0.0359
84000,0.9857,0.0340
84600,0.9868,0.0336
85200,0.9868,0.0336
85800,0.9873,0.0310
86400,0.9878,0.0297
87000,0.9883,0.0297
87600,0.9888,0.0273
88200,0.9893,0.0272
88800,0.9899,0.0254
89400,0.9905,0.0240
90000,0.9905,0.0240
90600,0.9910,0.0215
91200,0.9920,0.0207
91800,0.9920,0.0207
92400,0.9925,0.0193
93000,0.9925,0.0193
93600,0.9925,0.0193
94200,0.9940,0.0164
94800,0.9945,0.0162
95400,0.9950,0.0151
96000,0.9956,0.0128
96600,0.9961,0.0112
97200,0.9961,0.0112
97800,0.9961,0.0112
98400,0.9961,0.0112
99000,0.9966,0.0108
99600,0.9966,0.0108
100200,0.9971,0.0103
100800,0.9971,0.0103
101400,0.9971,0.0103
102000,0.9971,0.0103
102600,0.9971,0.0103
103200,0.9971,0.0103
103800,0.9971,0.0103
104400,0.9971,0.0103
105000,0.9971,0.0103
105600,0.9978,0.0093
106200,0.9978,0.0093
106800,0.9978,0.0093
107400,0.9978,0.0093
108000,0.9978,0.0093
108600,0.9978,0.0093
109200,0.9978,0.0093
109800,0.9984,0.0085
110400,0.9984,0.0085
111000,0.9984,0.0085
111600,0.9984,0.0085
112200,0.9984,0.0085
112800,0.9984,0.0085
113400,0.9984,0.0085
114000,0.9984,0.0085
114600,0.9989,0.0053
115200,0.9989,0.0053
115800,0.9989,0.0053
116400,0.9989,0.0053
117000,0.9989,0.0053
117600,0.9989,0.0053
118200,0.9989,0.0053
118800,0.9989,0.0053
119400,0.9989,0.0053
120000,0.9989,0.0053
120600,0.9989,0.0053
121200,0.9989,0.0053
121800,0.9989,0.0053
122400,0.9989,0.0053
123000,0.9989,0.0053
123600,0.9989,0.0053
124200,0.9989,0.0053
124800,0.9989,0.0053
125400,0.9989,0.0053
126000,0.9989,0.0053
126600,0.9989,0.0053
127200,0.9989,0.0053
127800,0.9989,0.0053
128400,0.9989,0.0053
129000,0.9989,0.0053
129600,0.9989,0.0053
130200,0.9989,0.0053
130800,0.9995,0.0037
131400,0.9995,0.0037
132000,0.9995,0.0037
132600,0.9995,0.0037
133200,1.0000,0.0000
