step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0253,0.0053
1200,0.0261,0.0074
1800,0.0270,0.0079
2400,0.0286,0.0116
3000,0.0286,0.0116
3600,0.0295,0.0125
4200,0.0299,0.0127
4800,0.0308,0.0142
5400,0.0317,0.0165
6000,0.0327,0.0179
6600,0.0346,0.0196
7200,0.0360,0.0218
7800,0.0385,0.0248
8400,0.0407,0.0280
9000,0.0411,0.0288
9600,0.0416,0.0294
10200,0.0434,0.0320
10800,0.0450,0.0333
11400,0.0493,0.0373
12000,0.0497,0.0375
12600,0.0502,0.0373
13200,0.0515,0.0376
13800,0.0519,0.0374
14400,0.0545,0.0372
15000,0.0564,0.0408
15600,0.0564,0.0408
16200,0.0583,0.0422
16800,0.0600,0.0433
17400,0.0605,0.0447
18000,0.0625,0.0471
18600,0.0650,0.0511
19200,0.0669,0.0528
19800,0.0699,0.0568
20400,0.0717,0.0574
21000,0.0750,0.0608
21600,0.0768,0.0628
22200,0.0777,0.0646
22800,0.0792,0.0654
23400,0.0805,0.0673
24000,0.0835,0.0734
24600,0.0850,0.0752
25200,0.0888,0.0764
25800,0.0921,0.0813
26400,0.0951,0.0847
27000,0.0984,0.0861
27600,0.1010,0.0862
28200,0.1029,0.0879
28800,0.1049,0.0903
29400,0.1075,0.0910
30000,0.1137,0.0950
30600,0.1161,0.0969
31200,0.1186,0.1009
31800,0.1214,0.1018
32400,0.1249,0.1017
33000,0.1270,0.1026
33600,0.1297,0.1052
34200,0.1357,0.1088
34800,0.1379,0.1115
35400,0.1408,0.1126
36000,0.1466,0.1140
36600,0.1496,0.1157
37200,0.1528,0.1161
37800,0.1577,0.1184
38400,0.1630,0.1221
39000,0.1694,0.1258
39600,0.1736,0.1287
40200,0.1778,0.1331
40800,0.1813,0.1352
41400,0.1891,0.1397
42000,0.1934,0.1430
42600,0.1971,0.1456
43200,0.2034,0.1515
43800,0.2062,0.1535
44400,0.2095,0.1560
45000,0.2150,0.1603
45600,0.2168,0.1619
46200,0.2222,0.1638
46800,0.2235,0.1663
47400,0.2284,0.1692
48000,0.2342,0.1760
48600,0.2382,0.1802
49200,0.2439,0.1827
49800,0.2502,0.1852
50400,0.2557,0.1890
51000,0.2628,0.1934
51600,0.2696,0.1951
52200,0.2741,0.1987
52800,0.2749,0.2000
53400,0.2805,0.2010
54000,0.2870,0.2028
54600,0.2927,0.2049
55200,0.2976,0.2078
55800,0.3036,0.2111
56400,0.3080,0.2122
57000,0.3118,0.2127
57600,0.3141,0.2138
58200,0.3188,0.2166
58800,0.3246,0.2203
59400,0.3337,0.2224
60000,0.3402,0.2231
60600,0.3431,0.2240
61200,0.3490,0.2280
61800,0.3558,0.2310
62400,0.3608,0.2330
63000,0.3694,0.2345
63600,0.3748,0.2362
64200,0.3796,0.2365
64800,0.3850,0.2376
65400,0.3909,0.2373
66000,0.3971,0.2381
66600,0.4056,0.2406
67200,0.4098,0.2414
67800,0.4153,0.2428
68400,0.4246,0.2422
69000,0.4321,0.2456
69600,0.4377,0.2480
70200,0.4447,0.2479
70800,0.4514,0.2450
71400,0.4584,0.2441
72000,0.4629,0.2451
72600,0.4695,0.2475
73200,0.4787,0.2504
73800,0.4863,0.2501
74400,0.4950,0.2516
75000,0.4994,0.2511
75600,0.5061,0.2531
76200,0.5148,0.2492
76800,0.5183,0.2514
77400,0.5262,0.2492
78000,0.5319,0.2495
78600,0.5358,0.2507
79200,0.5442,0.2497
79800,0.5477,0.2500
80400,0.5517,0.2508
81000,0.5591,0.2531
81600,0.5638,0.2517
82200,0.5702,0.2525
82800,0.5788,0.2539
83400,0.5837,0.2520
84000,0.5898,0.2494
84600,0.5993,0.2467
85200,0.6059,0.2467
85800,0.6119,0.2477
86400,0.6178,0.2449
