step, mean infection rate, std. dev
0,0.0167,0.0015
600,0.0197,0.0083
1200,0.0250,0.0141
1800,0.0288,0.0201
2400,0.0324,0.0216
3000,0.0347,0.0250
3600,0.0370,0.0282
4200,0.0407,0.0320
4800,0.0443,0.0343
5400,0.0491,0.0404
6000,0.0547,0.0435
6600,0.0599,0.0473
7200,0.0669,0.0569
7800,0.0740,0.0644
8400,0.0807,0.0705
9000,0.0890,0.0765
9600,0.0935,0.0780
10200,0.1042,0.0865
10800,0.1105,0.0929
11400,0.1195,0.0994
12000,0.1306,0.1112
12600,0.1403,0.1197
13200,0.1493,0.1230
13800,0.1604,0.1298
14400,0.1727,0.1379
15000,0.1842,0.1439
15600,0.1997,0.1520
16200,0.2140,0.1630
16800,0.2260,0.1697
17400,0.2402,0.1789
18000,0.2574,0.1927
18600,0.2755,0.2044
19200,0.2870,0.2072
19800,0.3046,0.2148
20400,0.3200,0.2196
21000,0.3331,0.2270
21600,0.3471,0.2333
22200,0.3634,0.2362
22800,0.3822,0.2442
23400,0.3978,0.2464
24000,0.4117,0.2474
24600,0.4296,0.2529
25200,0.4423,0.2554
25800,0.4570,0.2565
26400,0.4757,0.2621
27000,0.4917,0.2660
27600,0.5086,0.2661
28200,0.5258,0.2673
28800,0.5438,0.2686
29400,0.5644,0.2672
30000,0.5834,0.2633
30600,0.6017,0.2597
31200,0.6153,0.2540
31800,0.6353,0.2512
32400,0.6511,0.2471
33000,0.6660,0.2420
33600,0.6814,0.2421
34200,0.6985,0.2365
34800,0.7136,0.2301
35400,0.7272,0.2238
36000,0.7391,0.2200
36600,0.7546,0.2143
37200,0.7690,0.2066
37800,0.7826,0.2020
38400,0.7923,0.1969
39000,0.8068,0.1892
39600,0.8171,0.1834
40200,0.8266,0.1763
40800,0.8328,0.1764
41400,0.8425,0.1703
42000,0.8527,0.1629
42600,0.8644,0.1529
43200,0.8719,0.1452
43800,0.8794,0.1410
44400,0.8853,0.1380
45000,0.8926,0.1299
45600,0.9004,0.1218
46200,0.9057,0.1183
46800,0.9141,0.1127
47400,0.9194,0.1088
48000,0.9259,0.1002
48600,0.9308,0.0967
49200,0.9355,0.0924
49800,0.9389,0.0890
50400,0.9447,0.0862
51000,0.9485,0.0824
51600,0.9517,0.0795
52200,0.9547,0.0751
52800,0.9579,0.0696
53400,0.9596,0.0692
54000,0.9626,0.0667
54600,0.9648,0.0610
55200,0.9676,0.0563
55800,0.9690,0.0529
56400,0.9731,0.0506
57000,0.9746,0.0492
57600,0.9775,0.0448
58200,0.9785,0.0431
58800,0.9798,0.0416
59400,0.9833,0.0355
60000,0.9844,0.0350
60600,0.9847,0.0351
61200,0.9854,0.0337
61800,0.9861,0.0326
62400,0.9875,0.0294
63000,0.9886,0.0287
63600,0.9902,0.0269
64200,0.9906,0.0255
64800,0.9917,0.0229
65400,0.9917,0.0229
66000,0.9924,0.0211
66600,0.9927,0.0200
67200,0.9931,0.0183
67800,0.9938,0.0156
68400,0.9953,0.0114
69000,0.9956,0.0107
69600,0.9960,0.0093
70200,0.9960,0.0093
70800,0.9960,0.0093
71400,0.9963,0.0091
72000,0.9967,0.0081
72600,0.9970,0.0068
73200,0.9974,0.0064
73800,0.9974,0.0064
74400,0.9974,0.0064
75000,0.9974,0.0064
75600,0.9974,0.0064
76200,0.9978,0.0060
76800,0.9982,0.0055
77400,0.9982,0.0055
78000,0.9985,0.0051
78600,0.9985,0.0051
79200,0.9985,0.0051
79800,0.9985,0.0051
80400,0.9985,0.0051
81000,0.9989,0.0045
81600,0.9989,0.0045
82200,0.9989,0.0045
82800,0.9989,0.0045
83400,0.9989,0.0045
84000,0.9989,0.0045
84600,0.9989,0.0045
85200,0.9989,0.0045
85800,0.9989,0.0045
86400,0.9989,0.0045
87000,0.9992,0.0037
87600,0.9992,0.0037
88200,0.9992,0.0037
88800,0.9996,0.0025
89400,0.9996,0.0025
90000,0.9996,0.0025
90600,0.9996,0.0025
91200,0.9996,0.0025
91800,0.9996,0.0025
92400,0.9996,0.0025
93000,0.9996,0.0025
93600,0.9996,0.0025
94200,0.9996,0.0025
94800,0.9996,0.0025
95400,0.9996,0.0025
96000,1.0000,0.0000
