step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0138,0.0072
1200,0.0180,0.0111
1800,0.0214,0.0147
2400,0.0284,0.0213
3000,0.0334,0.0254
3600,0.0386,0.0291
4200,0.0450,0.0352
4800,0.0544,0.0429
5400,0.0628,0.0484
6000,0.0724,0.0567
6600,0.0818,0.0651
7200,0.0954,0.0790
7800,0.1078,0.0864
8400,0.1240,0.0964
9000,0.1432,0.1057
9600,0.1638,0.1185
10200,0.1860,0.1315
10800,0.2130,0.1465
11400,0.2366,0.1576
12000,0.2586,0.1657
12600,0.2890,0.1762
13200,0.3182,0.1915
13800,0.3434,0.1988
14400,0.3718,0.2107
15000,0.4040,0.2192
15600,0.4318,0.2287
16200,0.4602,0.2359
16800,0.4918,0.2459
17400,0.5206,0.2524
18000,0.5490,0.2550
18600,0.5762,0.2594
19200,0.6068,0.2626
19800,0.6334,0.2610
20400,0.6548,0.2604
21000,0.6804,0.2537
21600,0.6994,0.2523
22200,0.7208,0.2469
22800,0.7444,0.2399
23400,0.7636,0.2359
24000,0.7828,0.2274
24600,0.7976,0.2235
25200,0.8116,0.2167
25800,0.8272,0.2045
26400,0.8452,0.1905
27000,0.8580,0.1800
27600,0.8720,0.1720
28200,0.8834,0.1629
28800,0.8944,0.1519
29400,0.9024,0.1457
30000,0.9136,0.1339
30600,0.9228,0.1223
31200,0.9300,0.1140
31800,0.9386,0.1070
32400,0.9456,0.0999
33000,0.9514,0.0913
33600,0.9578,0.0814
34200,0.9630,0.0751
34800,0.9652,0.0716
35400,0.9680,0.0676
36000,0.9718,0.0599
36600,0.9756,0.0566
37200,0.9782,0.0527
37800,0.9812,0.0477
38400,0.9832,0.0444
39000,0.9858,0.0374
39600,0.9862,0.0367
40200,0.9878,0.0346
40800,0.9890,0.0317
41400,0.9900,0.0279
42000,0.9910,0.0253
42600,0.9918,0.0235
43200,0.9924,0.0226
43800,0.9938,0.0181
44400,0.9948,0.0155
45000,0.9960,0.0137
45600,0.9966,0.0112
46200,0.9972,0.0098
46800,0.9974,0.0098
47400,0.9976,0.0097
48000,0.9986,0.0057
48600,0.9988,0.0047
49200,0.9988,0.0047
49800,0.9988,0.0047
50400,0.9988,0.0047
51000,0.9990,0.0041
51600,0.9990,0.0041
52200,0.9992,0.0039
52800,0.9992,0.0039
53400,0.9992,0.0039
54000,0.9992,0.0039
54600,0.9992,0.0039
55200,0.9994,0.0031
55800,0.9994,0.0031
56400,0.9994,0.0031
57000,0.9994,0.0031
57600,0.9998,0.0014
58200,0.9998,0.0014
58800,0.9998,0.0014
59400,0.9998,0.0014
60000,0.9998,0.0014
60600,0.9998,0.0014
61200,0.9998,0.0014
61800,1.0000,0.0000
