step, mean infection rate, std. dev
0,0.0126,0.0008
600,0.0161,0.0062
1200,0.0184,0.0083
1800,0.0208,0.0113
2400,0.0241,0.0171
3000,0.0268,0.0203
3600,0.0297,0.0251
4200,0.0332,0.0286
4800,0.0374,0.0312
5400,0.0422,0.0360
6000,0.0494,0.0455
6600,0.0561,0.0535
7200,0.0612,0.0563
7800,0.0659,0.0621
8400,0.0704,0.0643
9000,0.0751,0.0680
9600,0.0805,0.0719
10200,0.0889,0.0786
10800,0.0976,0.0854
11400,0.1062,0.0889
12000,0.1121,0.0918
12600,0.1213,0.0993
13200,0.1279,0.1034
13800,0.1379,0.1105
14400,0.1497,0.1174
15000,0.1605,0.1266
15600,0.1726,0.1344
16200,0.1843,0.1389
16800,0.1925,0.1445
17400,0.2034,0.1497
18000,0.2159,0.1570
18600,0.2292,0.1624
19200,0.2438,0.1710
19800,0.2564,0.1776
20400,0.2700,0.1829
21000,0.2844,0.1872
21600,0.3003,0.1918
22200,0.3155,0.1960
22800,0.3315,0.2047
23400,0.3457,0.2098
24000,0.3612,0.2163
24600,0.3796,0.2213
25200,0.3961,0.2261
25800,0.4122,0.2317
26400,0.4275,0.2348
27000,0.4422,0.2379
27600,0.4582,0.2414
28200,0.4743,0.2451
28800,0.4921,0.2449
29400,0.5107,0.2467
30000,0.5336,0.2497
30600,0.5477,0.2515
31200,0.5596,0.2518
31800,0.5770,0.2527
32400,0.5943,0.2526
33000,0.6088,0.2542
33600,0.6242,0.2537
34200,0.6389,0.2560
34800,0.6527,0.2589
35400,0.6665,0.2581
36000,0.6778,0.2562
36600,0.6900,0.2583
37200,0.7010,0.2580
37800,0.7136,0.2546
38400,0.7256,0.2522
39000,0.7389,0.2447
39600,0.7495,0.2445
40200,0.7616,0.2427
40800,0.7706,0.2378
41400,0.7793,0.2360
42000,0.7900,0.2330
42600,0.8015,0.2279
43200,0.8106,0.2222
43800,0.8164,0.2210
44400,0.8255,0.2167
45000,0.8355,0.2103
45600,0.8420,0.2074
46200,0.8494,0.2062
46800,0.8539,0.2043
47400,0.8596,0.2007
48000,0.8678,0.1939
48600,0.8735,0.1905
49200,0.8804,0.1878
49800,0.8870,0.1832
50400,0.8925,0.1801
51000,0.8988,0.1753
51600,0.9046,0.1701
52200,0.9091,0.1660
52800,0.9142,0.1620
53400,0.9192,0.1592
54000,0.9229,0.1561
54600,0.9259,0.1535
55200,0.9292,0.1502
55800,0.9323,0.1475
56400,0.9358,0.1464
57000,0.9371,0.1458
57600,0.9391,0.1449
58200,0.9422,0.1407
58800,0.9452,0.1379
59400,0.9475,0.1347
60000,0.9490,0.1340
60600,0.9521,0.1282
61200,0.9552,0.1255
61800,0.9594,0.1237
62400,0.9604,0.1217
63000,0.9614,0.1218
63600,0.9629,0.1191
64200,0.9642,0.1189
64800,0.9650,0.1183
65400,0.9658,0.1144
66000,0.9668,0.1120
66600,0.9681,0.1116
67200,0.9699,0.1095
67800,0.9711,0.1073
68400,0.9724,0.1066
69000,0.9740,0.1009
69600,0.9765,0.0896
70200,0.9783,0.0821
70800,0.9796,0.0764
71400,0.9807,0.0744
72000,0.9807,0.0744
72600,0.9812,0.0744
73200,0.9817,0.0742
73800,0.9828,0.0724
74400,0.9833,0.0687
75000,0.9843,0.0686
75600,0.9853,0.0664
76200,0.9868,0.0622
76800,0.9874,0.0585
77400,0.9879,0.0564
78000,0.9893,0.0505
78600,0.9895,0.0487
79200,0.9901,0.0466
79800,0.9904,0.0466
80400,0.9914,0.0408
81000,0.9922,0.0387
81600,0.9925,0.0386
82200,0.9928,0.0368
82800,0.9928,0.0368
83400,0.9935,0.0348
84000,0.9941,0.0327
84600,0.9949,0.0289
85200,0.9951,0.0270
85800,0.9951,0.0270
86400,0.9962,0.0195
87000,0.9962,0.0195
87600,0.9965,0.0193
88200,0.9970,0.0174
88800,0.9970,0.0174
89400,0.9976,0.0136
90000,0.9981,0.0098
90600,0.9981,0.0098
91200,0.9981,0.0098
91800,0.9981,0.0098
92400,0.9987,0.0062
93000,0.9995,0.0038
93600,0.9997,0.0019
94200,0.9997,0.0019
94800,0.9997,0.0019
95400,0.9997,0.0019
96000,0.9997,0.0019
96600,0.9997,0.0019
97200,0.9997,0.0019
97800,0.9997,0.0019
98400,1.0000,0.0000
