step, mean infection rate, std. dev
0,0.0248,0.0033
600,0.0272,0.0093
1200,0.0300,0.0129
1800,0.0338,0.0174
2400,0.0353,0.0176
3000,0.0414,0.0236
3600,0.0477,0.0301
4200,0.0550,0.0354
4800,0.0572,0.0375
5400,0.0634,0.0448
6000,0.0682,0.0449
6600,0.0759,0.0499
7200,0.0848,0.0618
7800,0.0925,0.0667
8400,0.0984,0.0722
9000,0.1098,0.0797
9600,0.1181,0.0874
10200,0.1294,0.1025
10800,0.1415,0.1084
11400,0.1501,0.1113
12000,0.1654,0.1176
12600,0.1780,0.1250
13200,0.1909,0.1362
13800,0.2047,0.1428
14400,0.2196,0.1542
15000,0.2307,0.1617
15600,0.2454,0.1729
16200,0.2665,0.1849
16800,0.2841,0.1918
17400,0.3050,0.2036
18000,0.3259,0.2156
18600,0.3359,0.2231
19200,0.3550,0.2332
19800,0.3726,0.2374
20400,0.3874,0.2469
21000,0.4043,0.2533
21600,0.4250,0.2632
22200,0.4447,0.2657
22800,0.4629,0.2713
23400,0.4795,0.2747
24000,0.4925,0.2727
24600,0.5126,0.2793
25200,0.5315,0.2807
25800,0.5431,0.2776
26400,0.5616,0.2813
27000,0.5762,0.2828
27600,0.5921,0.2855
28200,0.6044,0.2863
28800,0.6199,0.2866
29400,0.6350,0.2821
30000,0.6498,0.2829
30600,0.6686,0.2824
31200,0.6831,0.2812
31800,0.6937,0.2811
32400,0.7091,0.2769
33000,0.7235,0.2714
33600,0.7352,0.2714
34200,0.7433,0.2682
34800,0.7545,0.2661
35400,0.7640,0.2629
36000,0.7763,0.2635
36600,0.7879,0.2580
37200,0.7937,0.2564
37800,0.8039,0.2536
38400,0.8153,0.2497
39000,0.8244,0.2474
39600,0.8310,0.2451
40200,0.8409,0.2411
40800,0.8488,0.2372
41400,0.8548,0.2341
42000,0.8586,0.2298
42600,0.8674,0.2241
43200,0.8718,0.2192
43800,0.8766,0.2136
44400,0.8833,0.2106
45000,0.8910,0.2037
45600,0.8953,0.1980
46200,0.8990,0.1932
46800,0.9035,0.1929
47400,0.9090,0.1868
48000,0.9146,0.1806
48600,0.9176,0.1763
49200,0.9231,0.1697
49800,0.9265,0.1652
50400,0.9294,0.1624
51000,0.9343,0.1551
51600,0.9366,0.1548
52200,0.9394,0.1532
52800,0.9423,0.1473
53400,0.9439,0.1460
54000,0.9453,0.1450
54600,0.9487,0.1344
55200,0.9519,0.1298
55800,0.9543,0.1287
56400,0.9557,0.1261
57000,0.9566,0.1256
57600,0.9586,0.1206
58200,0.9596,0.1182
58800,0.9618,0.1185
59400,0.9632,0.1150
60000,0.9648,0.1150
60600,0.9683,0.1050
61200,0.9703,0.0997
61800,0.9718,0.0950
62400,0.9728,0.0947
63000,0.9733,0.0919
63600,0.9738,0.0916
64200,0.9753,0.0891
64800,0.9763,0.0861
65400,0.9789,0.0809
66000,0.9804,0.0787
66600,0.9809,0.0759
67200,0.9819,0.0709
67800,0.9824,0.0710
68400,0.9845,0.0611
69000,0.9855,0.0574
69600,0.9860,0.0544
70200,0.9881,0.0511
70800,0.9886,0.0498
71400,0.9886,0.0498
72000,0.9908,0.0452
72600,0.9913,0.0419
73200,0.9938,0.0327
73800,0.9949,0.0290
74400,0.9954,0.0289
75000,0.9959,0.0253
75600,0.9964,0.0218
76200,0.9964,0.0218
76800,0.9964,0.0218
77400,0.9964,0.0218
78000,0.9969,0.0182
78600,0.9969,0.0182
79200,0.9974,0.0147
79800,0.9979,0.0113
80400,0.9979,0.0113
81000,0.9979,0.0113
81600,0.9979,0.0113
82200,0.9979,0.0113
82800,0.9979,0.0113
83400,0.9985,0.0108
84000,0.9985,0.0108
84600,0.9995,0.0036
85200,0.9995,0.0036
85800,0.9995,0.0036
86400,0.9995,0.0036
87000,0.9995,0.0036
87600,0.9995,0.0036
88200,0.9995,0.0036
88800,0.9995,0.0036
89400,1.0000,0.0000
