step, mean infection rate, std. dev
0,0.0502,0.0121
600,0.0506,0.0127
1200,0.0540,0.0186
1800,0.0561,0.0195
2400,0.0576,0.0212
3000,0.0606,0.0233
3600,0.0659,0.0298
4200,0.0674,0.0312
4800,0.0722,0.0413
5400,0.0751,0.0427
6000,0.0788,0.0457
6600,0.0825,0.0473
7200,0.0883,0.0559
7800,0.0929,0.0587
8400,0.0944,0.0595
9000,0.1003,0.0617
9600,0.1049,0.0659
10200,0.1108,0.0734
10800,0.1154,0.0733
11400,0.1185,0.0774
12000,0.1225,0.0831
12600,0.1277,0.0871
13200,0.1318,0.0878
13800,0.1365,0.0904
14400,0.1399,0.0935
15000,0.1473,0.0987
15600,0.1550,0.1052
16200,0.1607,0.1109
16800,0.1684,0.1156
17400,0.1732,0.1180
18000,0.1810,0.1254
18600,0.1887,0.1316
19200,0.1952,0.1358
19800,0.2071,0.1426
20400,0.2166,0.1516
21000,0.2232,0.1575
21600,0.2277,0.1633
22200,0.2345,0.1671
22800,0.2441,0.1749
23400,0.2503,0.1776
24000,0.2601,0.1821
24600,0.2657,0.1831
25200,0.2760,0.1913
25800,0.2857,0.1948
26400,0.2996,0.2000
27000,0.3080,0.2041
27600,0.3173,0.2085
28200,0.3261,0.2106
28800,0.3374,0.2134
29400,0.3481,0.2140
30000,0.3573,0.2170
30600,0.3662,0.2201
31200,0.3765,0.2196
31800,0.3835,0.2227
32400,0.3926,0.2253
33000,0.4024,0.2267
33600,0.4125,0.2283
34200,0.4224,0.2302
34800,0.4352,0.2336
35400,0.4452,0.2364
36000,0.4521,0.2413
36600,0.4580,0.2420
37200,0.4678,0.2446
37800,0.4779,0.2453
38400,0.4903,0.2479
39000,0.5033,0.2496
39600,0.5142,0.2512
40200,0.5230,0.2553
40800,0.5334,0.2561
41400,0.5451,0.2551
42000,0.5554,0.2606
42600,0.5679,0.2625
43200,0.5783,0.2603
43800,0.5893,0.2611
44400,0.6002,0.2621
45000,0.6082,0.2643
45600,0.6182,0.2658
46200,0.6235,0.2646
46800,0.6315,0.2635
47400,0.6417,0.2623
48000,0.6513,0.2629
48600,0.6552,0.2629
49200,0.6605,0.2626
49800,0.6684,0.2603
50400,0.6772,0.2602
51000,0.6849,0.2587
51600,0.6950,0.2577
52200,0.7015,0.2573
52800,0.7098,0.2575
53400,0.7157,0.2577
54000,0.7255,0.2562
54600,0.7347,0.2558
55200,0.7437,0.2550
55800,0.7513,0.2536
56400,0.7586,0.2538
57000,0.7655,0.2555
57600,0.7668,0.2554
58200,0.7710,0.2554
58800,0.7785,0.2564
59400,0.7843,0.2554
60000,0.7892,0.2540
60600,0.7932,0.2528
61200,0.8010,0.2496
61800,0.8057,0.2489
62400,0.8118,0.2496
63000,0.8175,0.2467
63600,0.8204,0.2451
64200,0.8241,0.2453
64800,0.8280,0.2434
65400,0.8337,0.2417
66000,0.8374,0.2406
66600,0.8421,0.2418
67200,0.8507,0.2356
67800,0.8522,0.2339
68400,0.8550,0.2340
69000,0.8609,0.2302
69600,0.8650,0.2298
70200,0.8667,0.2302
