step, mean infection rate, std. dev
0,0.0167,0.0015
600,0.0181,0.0053
1200,0.0190,0.0060
1800,0.0205,0.0085
2400,0.0230,0.0120
3000,0.0255,0.0162
3600,0.0272,0.0173
4200,0.0289,0.0180
4800,0.0310,0.0217
5400,0.0339,0.0232
6000,0.0364,0.0266
6600,0.0384,0.0268
7200,0.0427,0.0294
7800,0.0463,0.0352
8400,0.0513,0.0401
9000,0.0550,0.0419
9600,0.0582,0.0418
10200,0.0629,0.0455
10800,0.0704,0.0538
11400,0.0739,0.0564
12000,0.0797,0.0615
12600,0.0848,0.0655
13200,0.0890,0.0703
13800,0.0950,0.0741
14400,0.1028,0.0772
15000,0.1111,0.0816
15600,0.1206,0.0876
16200,0.1259,0.0931
16800,0.1323,0.1006
17400,0.1450,0.1072
18000,0.1571,0.1135
18600,0.1694,0.1234
19200,0.1819,0.1294
19800,0.1938,0.1334
20400,0.2078,0.1429
21000,0.2162,0.1447
21600,0.2321,0.1495
22200,0.2425,0.1539
22800,0.2568,0.1631
23400,0.2707,0.1695
24000,0.2825,0.1729
24600,0.2990,0.1787
25200,0.3163,0.1847
25800,0.3304,0.1899
26400,0.3421,0.1947
27000,0.3609,0.1978
27600,0.3740,0.2009
28200,0.3939,0.2028
28800,0.4107,0.2093
29400,0.4295,0.2145
30000,0.4434,0.2142
30600,0.4632,0.2186
31200,0.4814,0.2211
31800,0.4968,0.2224
32400,0.5138,0.2188
33000,0.5303,0.2196
33600,0.5465,0.2202
34200,0.5620,0.2193
34800,0.5714,0.2198
35400,0.5939,0.2200
36000,0.6080,0.2180
36600,0.6217,0.2163
37200,0.6357,0.2149
37800,0.6527,0.2149
38400,0.6671,0.2136
39000,0.6837,0.2097
39600,0.6989,0.2027
40200,0.7082,0.1977
40800,0.7218,0.1935
41400,0.7360,0.1845
42000,0.7481,0.1764
42600,0.7620,0.1701
43200,0.7746,0.1677
43800,0.7849,0.1645
44400,0.7982,0.1585
45000,0.8117,0.1512
45600,0.8240,0.1442
46200,0.8363,0.1401
46800,0.8465,0.1355
47400,0.8563,0.1302
48000,0.8657,0.1220
48600,0.8763,0.1142
49200,0.8854,0.1049
49800,0.8911,0.0999
50400,0.9003,0.0967
51000,0.9048,0.0935
51600,0.9099,0.0906
52200,0.9175,0.0843
52800,0.9222,0.0792
53400,0.9293,0.0758
54000,0.9344,0.0713
54600,0.9384,0.0664
55200,0.9425,0.0622
55800,0.9474,0.0601
56400,0.9515,0.0576
57000,0.9545,0.0548
57600,0.9593,0.0507
58200,0.9620,0.0473
58800,0.9665,0.0436
59400,0.9702,0.0405
60000,0.9729,0.0399
60600,0.9746,0.0390
61200,0.9763,0.0374
61800,0.9790,0.0339
62400,0.9808,0.0323
63000,0.9830,0.0312
63600,0.9844,0.0296
64200,0.9861,0.0254
64800,0.9875,0.0242
65400,0.9895,0.0236
66000,0.9898,0.0234
66600,0.9902,0.0227
67200,0.9909,0.0227
67800,0.9919,0.0207
68400,0.9930,0.0179
69000,0.9936,0.0179
69600,0.9936,0.0179
70200,0.9940,0.0178
70800,0.9952,0.0154
71400,0.9963,0.0131
72000,0.9970,0.0110
72600,0.9970,0.0110
73200,0.9970,0.0110
73800,0.9977,0.0088
74400,0.9980,0.0072
75000,0.9980,0.0072
75600,0.9984,0.0060
76200,0.9984,0.0060
76800,0.9984,0.0060
77400,0.9984,0.0060
78000,0.9987,0.0044
78600,0.9987,0.0044
79200,0.9987,0.0044
79800,0.9987,0.0044
80400,0.9987,0.0044
81000,0.9990,0.0040
81600,0.9993,0.0033
82200,0.9993,0.0033
82800,0.9993,0.0033
83400,0.9993,0.0033
84000,0.9997,0.0024
84600,1.0000,0.0000
