step, mean infection rate, std. dev
0,0.0502,0.0121
600,0.0537,0.0168
1200,0.0609,0.0258
1800,0.0675,0.0321
2400,0.0723,0.0399
3000,0.0784,0.0477
3600,0.0843,0.0515
4200,0.0914,0.0590
4800,0.1009,0.0660
5400,0.1052,0.0697
6000,0.1177,0.0785
6600,0.1268,0.0880
7200,0.1381,0.0980
7800,0.1468,0.1034
8400,0.1574,0.1137
9000,0.1683,0.1252
9600,0.1823,0.1344
10200,0.1908,0.1405
10800,0.2014,0.1465
11400,0.2137,0.1551
12000,0.2300,0.1709
12600,0.2421,0.1790
13200,0.2536,0.1847
13800,0.2716,0.1944
14400,0.2888,0.2012
15000,0.3029,0.2074
15600,0.3143,0.2131
16200,0.3315,0.2218
16800,0.3447,0.2290
17400,0.3597,0.2349
18000,0.3783,0.2414
18600,0.3976,0.2487
19200,0.4075,0.2520
19800,0.4236,0.2626
20400,0.4435,0.2665
21000,0.4583,0.2678
21600,0.4793,0.2665
22200,0.4922,0.2727
22800,0.5089,0.2741
23400,0.5233,0.2735
24000,0.5389,0.2731
24600,0.5573,0.2751
25200,0.5747,0.2724
25800,0.5909,0.2718
26400,0.6076,0.2712
27000,0.6246,0.2718
27600,0.6370,0.2670
28200,0.6492,0.2612
28800,0.6644,0.2581
29400,0.6775,0.2568
30000,0.6873,0.2572
30600,0.7018,0.2542
31200,0.7134,0.2492
31800,0.7277,0.2418
32400,0.7378,0.2403
33000,0.7496,0.2334
33600,0.7598,0.2313
34200,0.7721,0.2279
34800,0.7860,0.2249
35400,0.7951,0.2187
36000,0.8064,0.2152
36600,0.8147,0.2098
37200,0.8218,0.2045
37800,0.8285,0.2008
38400,0.8358,0.1957
39000,0.8478,0.1865
39600,0.8536,0.1865
40200,0.8618,0.1803
40800,0.8691,0.1748
41400,0.8733,0.1716
42000,0.8781,0.1673
42600,0.8863,0.1635
43200,0.8908,0.1626
43800,0.8932,0.1608
44400,0.8966,0.1587
45000,0.9031,0.1518
45600,0.9076,0.1477
46200,0.9118,0.1433
46800,0.9143,0.1404
47400,0.9177,0.1394
48000,0.9228,0.1360
48600,0.9251,0.1362
49200,0.9293,0.1345
49800,0.9324,0.1341
50400,0.9346,0.1318
51000,0.9373,0.1283
51600,0.9399,0.1254
52200,0.9436,0.1235
52800,0.9463,0.1216
53400,0.9488,0.1200
54000,0.9535,0.1103
54600,0.9545,0.1104
55200,0.9567,0.1105
55800,0.9598,0.1067
56400,0.9602,0.1068
57000,0.9602,0.1068
57600,0.9626,0.1052
58200,0.9639,0.1044
58800,0.9639,0.1044
59400,0.9651,0.1036
60000,0.9651,0.1036
60600,0.9671,0.1019
61200,0.9677,0.1013
61800,0.9699,0.0971
62400,0.9720,0.0906
63000,0.9729,0.0903
63600,0.9753,0.0870
64200,0.9765,0.0861
64800,0.9781,0.0787
65400,0.9781,0.0787
66000,0.9781,0.0787
66600,0.9786,0.0783
67200,0.9809,0.0753
67800,0.9815,0.0729
68400,0.9825,0.0709
69000,0.9836,0.0707
69600,0.9841,0.0703
70200,0.9847,0.0687
