step, mean infection rate, std. dev
0,0.0494,0.0112
600,0.0510,0.0125
1200,0.0517,0.0124
1800,0.0523,0.0138
2400,0.0562,0.0210
3000,0.0607,0.0293
3600,0.0633,0.0322
4200,0.0649,0.0320
4800,0.0664,0.0342
5400,0.0686,0.0366
6000,0.0694,0.0373
6600,0.0731,0.0396
7200,0.0759,0.0434
7800,0.0773,0.0457
8400,0.0813,0.0489
9000,0.0822,0.0514
9600,0.0875,0.0538
10200,0.0909,0.0564
10800,0.0917,0.0578
11400,0.0940,0.0609
12000,0.0984,0.0663
12600,0.1040,0.0697
13200,0.1055,0.0727
13800,0.1103,0.0764
14400,0.1123,0.0802
15000,0.1140,0.0823
15600,0.1146,0.0838
16200,0.1178,0.0827
16800,0.1187,0.0847
17400,0.1237,0.0904
18000,0.1290,0.0928
18600,0.1325,0.0960
19200,0.1371,0.0981
19800,0.1388,0.0984
20400,0.1405,0.1031
21000,0.1431,0.1068
21600,0.1489,0.1122
22200,0.1508,0.1121
22800,0.1556,0.1135
23400,0.1627,0.1227
24000,0.1633,0.1240
24600,0.1680,0.1296
25200,0.1760,0.1319
25800,0.1760,0.1319
26400,0.1839,0.1439
27000,0.1898,0.1497
27600,0.1937,0.1499
28200,0.1963,0.1515
28800,0.2003,0.1524
29400,0.2076,0.1618
30000,0.2094,0.1616
30600,0.2166,0.1679
31200,0.2230,0.1714
31800,0.2265,0.1728
32400,0.2298,0.1714
33000,0.2347,0.1806
33600,0.2415,0.1851
34200,0.2461,0.1868
34800,0.2491,0.1897
35400,0.2513,0.1928
36000,0.2539,0.1936
36600,0.2590,0.1978
37200,0.2661,0.2011
37800,0.2709,0.2029
38400,0.2765,0.2040
39000,0.2794,0.2068
39600,0.2870,0.2157
40200,0.2929,0.2177
40800,0.3007,0.2223
41400,0.3050,0.2247
42000,0.3098,0.2293
42600,0.3157,0.2301
43200,0.3185,0.2311
43800,0.3244,0.2292
44400,0.3335,0.2284
45000,0.3397,0.2307
45600,0.3417,0.2328
46200,0.3433,0.2340
46800,0.3497,0.2333
47400,0.3534,0.2357
48000,0.3662,0.2353
48600,0.3698,0.2359
49200,0.3740,0.2363
49800,0.3812,0.2394
50400,0.3881,0.2401
51000,0.3961,0.2424
51600,0.3980,0.2431
52200,0.4014,0.2423
52800,0.4086,0.2463
53400,0.4100,0.2454
54000,0.4142,0.2469
54600,0.4224,0.2512
55200,0.4318,0.2525
55800,0.4404,0.2544
56400,0.4507,0.2562
57000,0.4550,0.2551
57600,0.4592,0.2576
58200,0.4678,0.2569
58800,0.4695,0.2562
59400,0.4748,0.2540
60000,0.4818,0.2551
60600,0.4867,0.2564
61200,0.4909,0.2555
61800,0.4975,0.2553
62400,0.5031,0.2532
63000,0.5128,0.2553
63600,0.5188,0.2558
64200,0.5242,0.2546
64800,0.5295,0.2523
65400,0.5346,0.2564
66000,0.5379,0.2566
66600,0.5473,0.2595
67200,0.5564,0.2601
67800,0.5608,0.2630
68400,0.5692,0.2644
69000,0.5755,0.2672
69600,0.5806,0.2651
70200,0.5862,0.2660
70800,0.5902,0.2666
71400,0.5964,0.2650
72000,0.6059,0.2593
72600,0.6094,0.2588
73200,0.6145,0.2572
73800,0.6201,0.2591
74400,0.6250,0.2575
75000,0.6321,0.2580
75600,0.6423,0.2583
76200,0.6495,0.2565
76800,0.6549,0.2593
77400,0.6581,0.2591
78000,0.6620,0.2586
78600,0.6678,0.2592
79200,0.6703,0.2601
79800,0.6740,0.2615
80400,0.6805,0.2617
81000,0.6850,0.2595
81600,0.6941,0.2568
82200,0.6975,0.2577
82800,0.7018,0.2548
83400,0.7065,0.2546
84000,0.7106,0.2554
84600,0.7135,0.2545
85200,0.7143,0.2552
85800,0.7194,0.2524
86400,0.7254,0.2485
87000,0.7280,0.2487
87600,0.7289,0.2466
88200,0.7333,0.2455
88800,0.7355,0.2448
89400,0.7411,0.2442
90000,0.7470,0.2396
90600,0.7488,0.2394
91200,0.7499,0.2387
91800,0.7567,0.2388
92400,0.7598,0.2375
93000,0.7647,0.2361
93600,0.7708,0.2324
94200,0.7725,0.2332
94800,0.7771,0.2319
95400,0.7856,0.2279
96000,0.7978,0.2178
96600,0.8021,0.2173
97200,0.8066,0.2135
97800,0.8102,0.2097
98400,0.8124,0.2103
99000,0.8143,0.2103
99600,0.8175,0.2095
100200,0.8225,0.2006
100800,0.8254,0.2007
101400,0.8275,0.2007
102000,0.8308,0.2002
102600,0.8325,0.1975
103200,0.8375,0.1926
103800,0.8425,0.1887
104400,0.8457,0.1834
105000,0.8516,0.1826
105600,0.8533,0.1807
106200,0.8556,0.1767
106800,0.8573,0.1770
107400,0.8629,0.1726
108000,0.8642,0.1720
108600,0.8679,0.1667
109200,0.8725,0.1590
109800,0.8744,0.1585
110400,0.8772,0.1544
111000,0.8808,0.1510
111600,0.8816,0.1511
112200,0.8859,0.1501
112800,0.8859,0.1501
113400,0.8859,0.1501
114000,0.8897,0.1475
114600,0.8907,0.1468
115200,0.8977,0.1417
115800,0.9008,0.1392
116400,0.9030,0.1371
117000,0.9043,0.1365
117600,0.9090,0.1289
118200,0.9124,0.1249
118800,0.9146,0.1215
119400,0.9169,0.1186
120000,0.9189,0.1188
120600,0.9201,0.1182
121200,0.9220,0.1148
121800,0.9238,0.1138
122400,0.9261,0.1113
123000,0.9283,0.1102
123600,0.9314,0.1069
124200,0.9314,0.1069
124800,0.9363,0.1032
125400,0.9391,0.0993
126000,0.9413,0.1000
126600,0.9413,0.1000
127200,0.9423,0.0976
127800,0.9443,0.0955
128400,0.9443,0.0955
129000,0.9462,0.0922
129600,0.9462,0.0922
130200,0.9483,0.0879
130800,0.9506,0.0844
131400,0.9517,0.0833
132000,0.9517,0.0833
132600,0.9527,0.0809
133200,0.9527,0.0809
133800,0.9547,0.0780
134400,0.9558,0.0773
135000,0.9569,0.0768
135600,0.9569,0.0768
136200,0.9582,0.0734
136800,0.9582,0.0734
137400,0.9592,0.0737
138000,0.9606,0.0726
138600,0.9625,0.0685
139200,0.9650,0.0643
139800,0.9675,0.0610
140400,0.9675,0.0610
141000,0.9675,0.0610
141600,0.9704,0.0570
142200,0.9715,0.0561
142800,0.9726,0.0561
143400,0.9752,0.0527
144000,0.9752,0.0527
144600,0.9752,0.0527
145200,0.9752,0.0527
145800,0.9752,0.0527
146400,0.9759,0.0522
147000,0.9759,0.0522
147600,0.9773,0.0484
148200,0.9773,0.0484
148800,0.9773,0.0484
149400,0.9773,0.0484
150000,0.9780,0.0484
150600,0.9780,0.0484
151200,0.9825,0.0467
151800,0.9835,0.0465
152400,0.9835,0.0465
153000,0.9835,0.0465
153600,0.9835,0.0465
154200,0.9849,0.0459
154800,0.9861,0.0455
155400,0.9861,0.0455
156000,0.9861,0.0455
156600,0.9861,0.0455
157200,0.9861,0.0455
157800,0.9861,0.0455
158400,0.9861,0.0455
159000,0.9861,0.0455
159600,0.9861,0.0455
160200,0.9861,0.0455
160800,0.9861,0.0455
161400,0.9861,0.0455
162000,0.9861,0.0455
162600,0.9861,0.0455
163200,0.9861,0.0455
163800,0.9861,0.0455
164400,0.9861,0.0455
165000,0.9861,0.0455
165600,0.9861,0.0455
166200,0.9861,0.0455
166800,0.9861,0.0455
167400,0.9861,0.0455
168000,0.9861,0.0455
168600,0.9861,0.0455
169200,0.9861,0.0455
169800,0.9861,0.0455
170400,0.9861,0.0455
171000,0.9861,0.0455
171600,0.9878,0.0376
172200,0.9878,0.0376
172800,0.9888,0.0372
173400,0.9888,0.0372
174000,0.9888,0.0372
174600,0.9899,0.0336
175200,0.9899,0.0336
175800,0.9899,0.0336
176400,0.9899,0.0336
177000,0.9899,0.0336
177600,0.9899,0.0336
178200,0.9899,0.0336
178800,0.9899,0.0336
179400,0.9899,0.0336
180000,0.9899,0.0336
180600,0.9899,0.0336
181200,0.9899,0.0336
181800,0.9899,0.0336
182400,0.9899,0.0336
183000,0.9899,0.0336
183600,0.9899,0.0336
184200,0.9899,0.0336
184800,0.9920,0.0308
185400,0.9920,0.0308
186000,0.9929,0.0303
186600,0.9929,0.0303
187200,0.9929,0.0303
187800,0.9929,0.0303
188400,0.9929,0.0303
189000,0.9929,0.0303
189600,0.9929,0.0303
190200,0.9929,0.0303
190800,0.9929,0.0303
191400,0.9929,0.0303
192000,0.9940,0.0296
192600,0.9953,0.0250
193200,0.9953,0.0250
193800,0.9953,0.0250
194400,0.9953,0.0250
195000,0.9953,0.0250
195600,0.9953,0.0250
196200,0.9953,0.0250
196800,0.9953,0.0250
197400,0.9953,0.0250
198000,0.9953,0.0250
198600,0.9953,0.0250
199200,0.9953,0.0250
199800,0.9953,0.0250
200400,0.9953,0.0250
201000,0.9953,0.0250
201600,0.9953,0.0250
202200,0.9953,0.0250
202800,0.9953,0.0250
203400,0.9953,0.0250
204000,0.9953,0.0250
204600,0.9967,0.0233
205200,0.9967,0.0233
205800,0.9983,0.0117
206400,1.0000,0.0000
