step, mean infection rate, std. dev
0,0.0100,0.0000
600,0.0116,0.0042
1200,0.0132,0.0051
1800,0.0148,0.0064
2400,0.0170,0.0085
3000,0.0194,0.0114
3600,0.0210,0.0127
4200,0.0234,0.0144
4800,0.0258,0.0164
5400,0.0292,0.0175
6000,0.0332,0.0208
6600,0.0396,0.0257
7200,0.0444,0.0276
7800,0.0498,0.0318
8400,0.0558,0.0372
9000,0.0634,0.0433
9600,0.0720,0.0502
10200,0.0826,0.0545
10800,0.0930,0.0612
11400,0.1046,0.0694
12000,0.1190,0.0788
12600,0.1332,0.0865
13200,0.1494,0.0961
13800,0.1682,0.1091
14400,0.1850,0.1192
15000,0.2042,0.1278
15600,0.2248,0.1408
16200,0.2446,0.1478
16800,0.2690,0.1563
17400,0.2926,0.1655
18000,0.3186,0.1754
18600,0.3412,0.1772
19200,0.3636,0.1791
19800,0.3916,0.1884
20400,0.4156,0.1959
21000,0.4430,0.2038
21600,0.4742,0.2116
22200,0.5016,0.2115
22800,0.5294,0.2103
23400,0.5598,0.2103
24000,0.5866,0.2097
24600,0.6150,0.2011
25200,0.6400,0.1978
25800,0.6656,0.1919
26400,0.6914,0.1849
27000,0.7176,0.1787
27600,0.7462,0.1712
28200,0.7648,0.1653
28800,0.7856,0.1602
29400,0.8054,0.1542
30000,0.8232,0.1422
30600,0.8394,0.1329
31200,0.8572,0.1235
31800,0.8738,0.1162
32400,0.8882,0.1083
33000,0.9022,0.1031
33600,0.9138,0.0943
34200,0.9210,0.0908
34800,0.9322,0.0798
35400,0.9396,0.0777
36000,0.9442,0.0734
36600,0.9500,0.0678
37200,0.9560,0.0609
37800,0.9622,0.0533
38400,0.9666,0.0511
39000,0.9720,0.0435
39600,0.9764,0.0368
40200,0.9816,0.0289
40800,0.9856,0.0244
41400,0.9882,0.0216
42000,0.9898,0.0191
42600,0.9908,0.0189
43200,0.9922,0.0150
43800,0.9932,0.0133
44400,0.9936,0.0125
45000,0.9948,0.0114
45600,0.9962,0.0089
46200,0.9972,0.0063
46800,0.9978,0.0054
47400,0.9982,0.0052
48000,0.9986,0.0040
48600,0.9988,0.0038
49200,0.9990,0.0036
49800,0.9990,0.0036
50400,0.9992,0.0027
51000,0.9994,0.0024
51600,0.9994,0.0024
52200,0.9994,0.0024
52800,0.9994,0.0024
53400,0.9994,0.0024
54000,0.9994,0.0024
54600,0.9994,0.0024
55200,0.9994,0.0024
55800,0.9994,0.0024
56400,0.9994,0.0024
57000,0.9996,0.0020
57600,0.9998,0.0014
58200,0.9998,0.0014
58800,0.9998,0.0014
59400,0.9998,0.0014
60000,0.9998,0.0014
60600,0.9998,0.0014
61200,0.9998,0.0014
61800,0.9998,0.0014
62400,0.9998,0.0014
63000,0.9998,0.0014
63600,0.9998,0.0014
64200,1.0000,0.0000
