step, mean infection rate, std. dev
0,0.0126,0.0008
600,0.0134,0.0034
1200,0.0147,0.0050
1800,0.0159,0.0073
2400,0.0179,0.0086
3000,0.0195,0.0108
3600,0.0229,0.0137
4200,0.0242,0.0154
4800,0.0254,0.0178
5400,0.0273,0.0197
6000,0.0285,0.0220
6600,0.0300,0.0233
7200,0.0318,0.0245
7800,0.0341,0.0288
8400,0.0368,0.0335
9000,0.0394,0.0368
9600,0.0422,0.0401
10200,0.0451,0.0433
10800,0.0495,0.0477
11400,0.0540,0.0538
12000,0.0590,0.0591
12600,0.0637,0.0638
13200,0.0675,0.0689
13800,0.0730,0.0743
14400,0.0786,0.0788
15000,0.0855,0.0823
15600,0.0941,0.0890
16200,0.0990,0.0936
16800,0.1076,0.1033
17400,0.1153,0.1081
18000,0.1231,0.1132
18600,0.1322,0.1195
19200,0.1419,0.1281
19800,0.1513,0.1355
20400,0.1597,0.1413
21000,0.1652,0.1447
21600,0.1762,0.1497
22200,0.1863,0.1584
22800,0.1928,0.1613
23400,0.2007,0.1649
24000,0.2120,0.1732
24600,0.2241,0.1823
25200,0.2355,0.1840
25800,0.2471,0.1916
26400,0.2602,0.1999
27000,0.2744,0.2047
27600,0.2852,0.2122
28200,0.3001,0.2196
28800,0.3101,0.2252
29400,0.3236,0.2295
30000,0.3345,0.2333
30600,0.3503,0.2350
31200,0.3698,0.2398
31800,0.3865,0.2440
32400,0.4056,0.2456
33000,0.4236,0.2497
33600,0.4405,0.2510
34200,0.4570,0.2518
34800,0.4700,0.2494
35400,0.4888,0.2516
36000,0.5072,0.2506
36600,0.5240,0.2478
37200,0.5434,0.2497
37800,0.5568,0.2501
38400,0.5723,0.2505
39000,0.5911,0.2480
39600,0.6075,0.2464
40200,0.6246,0.2453
40800,0.6345,0.2458
41400,0.6488,0.2438
42000,0.6643,0.2406
42600,0.6749,0.2370
43200,0.6868,0.2358
43800,0.7019,0.2298
44400,0.7168,0.2281
45000,0.7298,0.2256
45600,0.7400,0.2236
46200,0.7551,0.2185
46800,0.7675,0.2124
47400,0.7795,0.2058
48000,0.7949,0.1998
48600,0.8063,0.1975
49200,0.8126,0.1938
49800,0.8240,0.1894
50400,0.8343,0.1847
51000,0.8411,0.1815
51600,0.8493,0.1760
52200,0.8596,0.1692
52800,0.8653,0.1669
53400,0.8715,0.1654
54000,0.8798,0.1621
54600,0.8842,0.1622
55200,0.8888,0.1602
55800,0.8949,0.1570
56400,0.8990,0.1560
57000,0.9055,0.1488
57600,0.9094,0.1477
58200,0.9140,0.1438
58800,0.9188,0.1369
59400,0.9228,0.1322
60000,0.9243,0.1313
60600,0.9271,0.1290
61200,0.9319,0.1224
61800,0.9357,0.1192
62400,0.9394,0.1153
63000,0.9419,0.1114
63600,0.9455,0.1094
64200,0.9475,0.1048
64800,0.9502,0.1024
65400,0.9529,0.0977
66000,0.9558,0.0950
66600,0.9586,0.0921
67200,0.9600,0.0866
67800,0.9622,0.0828
68400,0.9642,0.0804
69000,0.9677,0.0761
69600,0.9703,0.0727
70200,0.9732,0.0653
70800,0.9754,0.0584
71400,0.9767,0.0552
72000,0.9785,0.0522
72600,0.9807,0.0464
73200,0.9824,0.0412
73800,0.9846,0.0357
74400,0.9871,0.0300
75000,0.9896,0.0235
75600,0.9901,0.0225
76200,0.9911,0.0214
76800,0.9921,0.0198
77400,0.9923,0.0192
78000,0.9926,0.0192
78600,0.9928,0.0187
79200,0.9928,0.0187
79800,0.9938,0.0169
80400,0.9945,0.0133
81000,0.9953,0.0117
81600,0.9956,0.0109
82200,0.9966,0.0085
82800,0.9973,0.0071
83400,0.9973,0.0071
84000,0.9975,0.0060
84600,0.9975,0.0060
85200,0.9980,0.0045
85800,0.9980,0.0045
86400,0.9980,0.0045
87000,0.9983,0.0043
87600,0.9983,0.0043
88200,0.9983,0.0043
88800,0.9983,0.0043
89400,0.9985,0.0040
90000,0.9985,0.0040
90600,0.9985,0.0040
91200,0.9988,0.0037
91800,0.9988,0.0037
92400,0.9988,0.0037
93000,0.9988,0.0037
93600,0.9990,0.0033
94200,0.9993,0.0029
94800,0.9998,0.0017
95400,0.9998,0.0017
96000,0.9998,0.0017
96600,0.9998,0.0017
97200,0.9998,0.0017
97800,0.9998,0.0017
98400,0.9998,0.0017
99000,0.9998,0.0017
99600,0.9998,0.0017
100200,0.9998,0.0017
100800,0.9998,0.0017
101400,0.9998,0.0017
102000,0.9998,0.0017
102600,0.9998,0.0017
103200,0.9998,0.0017
103800,0.9998,0.0017
104400,0.9998,0.0017
105000,0.9998,0.0017
105600,0.9998,0.0017
106200,0.9998,0.0017
106800,0.9998,0.0017
107400,0.9998,0.0017
108000,0.9998,0.0017
108600,0.9998,0.0017
109200,0.9998,0.0017
109800,0.9998,0.0017
110400,0.9998,0.0017
111000,1.0000,0.0000
