step, mean infection rate, std. dev
0,0.0494,0.0112
600,0.0544,0.0204
1200,0.0568,0.0225
1800,0.0583,0.0224
2400,0.0605,0.0247
3000,0.0632,0.0271
3600,0.0654,0.0304
4200,0.0654,0.0304
4800,0.0722,0.0385
5400,0.0779,0.0415
6000,0.0822,0.0463
6600,0.0832,0.0461
7200,0.0880,0.0473
7800,0.0925,0.0537
8400,0.0947,0.0554
9000,0.0966,0.0556
9600,0.1012,0.0627
10200,0.1041,0.0642
10800,0.1116,0.0761
11400,0.1168,0.0795
12000,0.1202,0.0787
12600,0.1247,0.0802
13200,0.1280,0.0828
13800,0.1373,0.0913
14400,0.1459,0.0957
15000,0.1498,0.0976
15600,0.1570,0.1008
16200,0.1636,0.1043
16800,0.1705,0.1110
17400,0.1779,0.1154
18000,0.1841,0.1211
18600,0.1913,0.1223
19200,0.1986,0.1285
19800,0.2060,0.1327
20400,0.2112,0.1368
21000,0.2217,0.1465
21600,0.2275,0.1503
22200,0.2334,0.1539
22800,0.2382,0.1582
23400,0.2455,0.1626
24000,0.2535,0.1652
24600,0.2566,0.1659
25200,0.2709,0.1657
25800,0.2828,0.1736
26400,0.2935,0.1816
27000,0.3042,0.1808
27600,0.3164,0.1883
28200,0.3212,0.1923
28800,0.3335,0.1992
29400,0.3446,0.2038
30000,0.3508,0.2067
30600,0.3607,0.2096
31200,0.3648,0.2106
31800,0.3780,0.2119
32400,0.3835,0.2159
33000,0.3895,0.2172
33600,0.4000,0.2211
34200,0.4083,0.2266
34800,0.4165,0.2291
35400,0.4254,0.2282
36000,0.4371,0.2368
36600,0.4440,0.2387
37200,0.4481,0.2420
37800,0.4539,0.2411
38400,0.4645,0.2411
39000,0.4748,0.2366
39600,0.4826,0.2360
40200,0.4871,0.2363
40800,0.4968,0.2355
41400,0.5050,0.2347
42000,0.5207,0.2344
42600,0.5279,0.2410
43200,0.5365,0.2437
43800,0.5438,0.2445
44400,0.5503,0.2432
45000,0.5589,0.2438
45600,0.5657,0.2458
46200,0.5771,0.2407
46800,0.5838,0.2413
47400,0.5984,0.2421
48000,0.6085,0.2457
48600,0.6166,0.2452
49200,0.6243,0.2422
49800,0.6300,0.2366
50400,0.6350,0.2375
51000,0.6466,0.2367
51600,0.6499,0.2370
52200,0.6617,0.2351
52800,0.6656,0.2333
53400,0.6708,0.2345
54000,0.6755,0.2359
54600,0.6815,0.2378
55200,0.6900,0.2375
55800,0.6941,0.2365
56400,0.7049,0.2366
57000,0.7085,0.2347
57600,0.7120,0.2359
58200,0.7192,0.2333
58800,0.7265,0.2301
59400,0.7326,0.2268
60000,0.7373,0.2264
60600,0.7443,0.2250
61200,0.7508,0.2187
61800,0.7597,0.2194
62400,0.7634,0.2177
63000,0.7698,0.2164
63600,0.7773,0.2162
64200,0.7840,0.2139
64800,0.7898,0.2126
65400,0.7959,0.2099
66000,0.7987,0.2101
66600,0.8045,0.2052
67200,0.8084,0.2030
67800,0.8126,0.2039
68400,0.8145,0.2035
69000,0.8199,0.1961
69600,0.8251,0.1963
70200,0.8305,0.1955
70800,0.8397,0.1894
71400,0.8464,0.1842
72000,0.8480,0.1841
72600,0.8537,0.1814
73200,0.8568,0.1801
73800,0.8579,0.1793
74400,0.8596,0.1774
75000,0.8629,0.1767
75600,0.8662,0.1779
76200,0.8697,0.1741
76800,0.8721,0.1725
77400,0.8765,0.1695
78000,0.8765,0.1695
78600,0.8792,0.1688
79200,0.8815,0.1621
79800,0.8815,0.1621
80400,0.8825,0.1624
81000,0.8848,0.1606
81600,0.8900,0.1543
82200,0.8955,0.1538
82800,0.8988,0.1549
83400,0.8999,0.1550
84000,0.9031,0.1528
84600,0.9050,0.1507
85200,0.9106,0.1465
85800,0.9128,0.1444
86400,0.9142,0.1430
87000,0.9163,0.1420
87600,0.9207,0.1314
88200,0.9217,0.1311
88800,0.9260,0.1225
89400,0.9286,0.1207
90000,0.9319,0.1171
90600,0.9319,0.1171
91200,0.9344,0.1090
91800,0.9386,0.1075
92400,0.9406,0.1030
93000,0.9439,0.0969
93600,0.9469,0.0880
94200,0.9487,0.0876
94800,0.9504,0.0812
95400,0.9504,0.0812
96000,0.9504,0.0812
96600,0.9504,0.0812
97200,0.9504,0.0812
97800,0.9545,0.0789
98400,0.9556,0.0782
99000,0.9556,0.0782
99600,0.9565,0.0785
100200,0.9581,0.0730
100800,0.9605,0.0708
101400,0.9621,0.0657
102000,0.9630,0.0658
102600,0.9640,0.0653
103200,0.9640,0.0653
103800,0.9650,0.0655
104400,0.9650,0.0655
105000,0.9650,0.0655
105600,0.9650,0.0655
106200,0.9667,0.0609
106800,0.9667,0.0609
107400,0.9705,0.0531
108000,0.9705,0.0531
108600,0.9705,0.0531
109200,0.9714,0.0532
109800,0.9733,0.0521
110400,0.9743,0.0513
111000,0.9751,0.0507
111600,0.9751,0.0507
112200,0.9751,0.0507
112800,0.9759,0.0508
113400,0.9772,0.0487
114000,0.9783,0.0475
114600,0.9793,0.0474
115200,0.9793,0.0474
115800,0.9815,0.0470
116400,0.9815,0.0470
117000,0.9838,0.0464
117600,0.9838,0.0464
118200,0.9838,0.0464
118800,0.9838,0.0464
119400,0.9838,0.0464
120000,0.9838,0.0464
120600,0.9838,0.0464
121200,0.9838,0.0464
121800,0.9838,0.0464
122400,0.9838,0.0464
123000,0.9850,0.0430
123600,0.9863,0.0402
124200,0.9863,0.0402
124800,0.9863,0.0402
125400,0.9863,0.0402
126000,0.9863,0.0402
126600,0.9863,0.0402
127200,0.9875,0.0380
127800,0.9875,0.0380
128400,0.9875,0.0380
129000,0.9875,0.0380
129600,0.9898,0.0369
130200,0.9898,0.0369
130800,0.9898,0.0369
131400,0.9898,0.0369
132000,0.9898,0.0369
132600,0.9898,0.0369
133200,0.9913,0.0282
133800,0.9913,0.0282
134400,0.9913,0.0282
135000,0.9913,0.0282
135600,0.9925,0.0273
136200,0.9925,0.0273
136800,0.9925,0.0273
137400,0.9925,0.0273
138000,0.9925,0.0273
138600,0.9925,0.0273
139200,0.9925,0.0273
139800,0.9925,0.0273
140400,0.9925,0.0273
141000,0.9925,0.0273
141600,0.9925,0.0273
142200,0.9925,0.0273
142800,0.9925,0.0273
143400,0.9925,0.0273
144000,0.9925,0.0273
144600,0.9925,0.0273
145200,0.9939,0.0258
145800,0.9939,0.0258
146400,0.9939,0.0258
147000,0.9939,0.0258
147600,0.9939,0.0258
148200,0.9939,0.0258
148800,0.9939,0.0258
149400,0.9955,0.0180
150000,0.9955,0.0180
150600,0.9955,0.0180
151200,0.9955,0.0180
151800,0.9955,0.0180
152400,0.9955,0.0180
153000,0.9955,0.0180
153600,0.9955,0.0180
154200,0.9955,0.0180
154800,0.9955,0.0180
155400,0.9955,0.0180
156000,0.9955,0.0180
156600,0.9955,0.0180
157200,0.9955,0.0180
157800,0.9968,0.0157
158400,0.9968,0.0157
159000,0.9968,0.0157
159600,0.9968,0.0157
160200,0.9968,0.0157
160800,0.9968,0.0157
161400,0.9968,0.0157
162000,0.9968,0.0157
162600,0.9968,0.0157
163200,0.9968,0.0157
163800,0.9968,0.0157
164400,0.9968,0.0157
165000,0.9968,0.0157
165600,0.9968,0.0157
166200,0.9968,0.0157
166800,0.9968,0.0157
167400,0.9968,0.0157
168000,0.9968,0.0157
168600,0.9968,0.0157
169200,0.9968,0.0157
169800,0.9968,0.0157
170400,0.9968,0.0157
171000,0.9968,0.0157
171600,0.9968,0.0157
172200,0.9968,0.0157
172800,0.9968,0.0157
173400,0.9968,0.0157
174000,0.9968,0.0157
174600,0.9968,0.0157
175200,0.9968,0.0157
175800,0.9968,0.0157
176400,0.9968,0.0157
177000,0.9968,0.0157
177600,0.9968,0.0157
178200,0.9968,0.0157
178800,0.9968,0.0157
179400,0.9968,0.0157
180000,0.9968,0.0157
180600,0.9968,0.0157
181200,0.9968,0.0157
181800,0.9968,0.0157
182400,0.9968,0.0157
183000,0.9968,0.0157
183600,0.9968,0.0157
184200,0.9968,0.0157
184800,0.9968,0.0157
185400,0.9968,0.0157
186000,0.9968,0.0157
186600,0.9968,0.0157
187200,0.9968,0.0157
187800,0.9968,0.0157
188400,0.9968,0.0157
189000,0.9968,0.0157
189600,0.9968,0.0157
190200,0.9968,0.0157
190800,0.9968,0.0157
191400,0.9968,0.0157
192000,0.9968,0.0157
192600,0.9968,0.0157
193200,0.9968,0.0157
193800,0.9968,0.0157
194400,0.9968,0.0157
195000,0.9968,0.0157
195600,0.9968,0.0157
196200,0.9985,0.0108
196800,0.9985,0.0108
197400,0.9985,0.0108
198000,0.9985,0.0108
198600,0.9985,0.0108
199200,0.9985,0.0108
199800,0.9985,0.0108
200400,0.9985,0.0108
201000,0.9985,0.0108
201600,0.9985,0.0108
202200,0.9985,0.0108
202800,0.9985,0.0108
203400,0.9985,0.0108
204000,0.9985,0.0108
204600,0.9985,0.0108
205200,0.9985,0.0108
205800,0.9985,0.0108
206400,1.0000,0.0000
